case_id,route_id,trip_id,start_stop,end_stop,first_arrival,last_departure,duration_seconds,duration_label,event_count
FRG-1::170030-0,FRG-1,170030-0,PIMS,Barakahu,2026-04-23T10:40:00+05:00,2026-04-23T11:10:00+05:00,1800,30 min 0 sec,10
FRG-1::170031-0,FRG-1,170031-0,PIMS,Barakahu,2026-04-23T10:45:00+05:00,2026-04-23T11:15:00+05:00,1800,30 min 0 sec,10
FRG-1::170032-0,FRG-1,170032-0,PIMS,Barakahu,2026-04-23T10:50:00+05:00,2026-04-23T11:20:00+05:00,1800,30 min 0 sec,10
FRG-1::170033-0,FRG-1,170033-0,PIMS,Barakahu,2026-04-23T10:55:00+05:00,2026-04-23T11:25:00+05:00,1800,30 min 0 sec,10
FRG-1::170034-0,FRG-1,170034-0,PIMS,Barakahu,2026-04-23T11:00:00+05:00,2026-04-23T11:30:00+05:00,1800,30 min 0 sec,10
FRG-1::170035-0,FRG-1,170035-0,PIMS,Barakahu,2026-04-23T11:05:00+05:00,2026-04-23T11:35:00+05:00,1800,30 min 0 sec,10
FRG-1::170036-0,FRG-1,170036-0,PIMS,Barakahu,2026-04-23T11:10:00+05:00,2026-04-23T11:40:00+05:00,1800,30 min 0 sec,10
FRG-1::170037-0,FRG-1,170037-0,PIMS,Barakahu,2026-04-23T11:15:00+05:00,2026-04-23T11:45:00+05:00,1800,30 min 0 sec,10
FRG-1::170038-0,FRG-1,170038-0,PIMS,Barakahu,2026-04-23T11:20:00+05:00,2026-04-23T11:50:00+05:00,1800,30 min 0 sec,10
FRG-1::170039-0,FRG-1,170039-0,PIMS,Barakahu,2026-04-23T11:25:00+05:00,2026-04-23T11:55:00+05:00,1800,30 min 0 sec,10
FRG-1::170040-0,FRG-1,170040-0,PIMS,Barakahu,2026-04-23T11:30:00+05:00,2026-04-23T12:00:00+05:00,1800,30 min 0 sec,10
FRG-1::170041-0,FRG-1,170041-0,PIMS,Barakahu,2026-04-23T11:35:00+05:00,2026-04-23T12:05:00+05:00,1800,30 min 0 sec,10
FRG-1::170042-0,FRG-1,170042-0,PIMS,Barakahu,2026-04-23T11:40:00+05:00,2026-04-23T12:10:00+05:00,1800,30 min 0 sec,10
FRG-1::170043-0,FRG-1,170043-0,PIMS,Barakahu,2026-04-23T11:45:00+05:00,2026-04-23T12:15:00+05:00,1800,30 min 0 sec,10
